pitcher,player_name
660431,Hector Perez
643493,Austin Pruitt
657093,Spenser Watkins
543510,James McCann
665734,Angel Felipe
621295,Nick Wittgren
668873,Caleb Kilian
650496,J. C. Mejía
664901,Danny Mendick
677020,Josh Walker
676596,Josh Fleming
571927,Steven Matz
668470,Hagen Danner
642231,Jimmy Yacabonis
669169,Jonathan Heasley
656924,Ryder Ryan
622075,Yency Almonte
666201,Alek Manoah
676206,Freddy Tarnok
659275,Dinelson Lamet
660787,Yerry De los Santos
571466,Tucker Barnhart
622569,Pablo Reyes
542947,Richard Bleier
641482,Néstor Cortés
663558,Jovani Morán
595928,John Curtiss
663556,Shane McClanahan
571912,Luke Maile
665048,Hobie Harris
613534,Austin Adams
682989,Victor Mederos
678226,Daysbel Hernández
593334,Domingo Germán
642121,Cole Sulser
650907,René Pinto
676534,Calvin Faucher
670329,Rico Garcia
675921,Spencer Howard
666720,Yerry Rodríguez
605397,Joe Musgrove
674072,Tommy Henry
656657,Zach Logue
669391,Owen White
570257,Joely Rodríguez
669952,Mitch White
666208,Alex Speas
543101,Anthony DeSclafani
686651,Levi Stoudt
614179,José Ruiz
663385,Chad Smith
621057,Justin Garza
543543,Brad Miller
680232,Jackson Wolf
669438,Mason Englert
689690,Alek Jacob
681517,Kyle Leahy
572193,Ryan Tepera
663574,Tony Santillan
663738,Daniel Lynch
472551,Fernando Abad
642770,Javy Guerra
502179,Paolo Espino
686654,Ty Adcock
663465,Kolby Allard
607188,Jake Faria
670970,Adrián Morejón
670036,Matt Festa
519008,T. J. McFarland
663992,Richard Lovelady
660730,Elvin Rodríguez
623433,Nick Anderson
676632,Bligh Madris
656820,Nicholas Padilla
607054,Jace Peterson
643396,Isiah Kiner-Falefa
689167,Jeff Lindgren
686753,Drey Jameson
607237,Amir Garrett
543548,Tommy Milone
543339,Daniel Hudson
672710,Roansy Contreras
676475,Alec Burleson
672391,Kaleb Ort
620454,José Castillo
681808,Chris Vallimont
696147,Sam Bachman
593619,Domingo Tapia
660634,Yonny Hernández
622772,Jimmy Cordero
641302,Tyler Alexander
681869,Shawn Dubin
518626,Josh Donaldson
669618,Joe Barlow
674285,Eduardo Salazar
621219,Alec Mills
456713,Matt Bush
623381,Thomas Pannone
605151,Archie Bradley
656290,Drew Carlton
621139,Brooks Kriske
645801,Mike Ford
669211,Keegan Akin
570731,Jonathan Schoop
605441,Yacksel Ríos
663753,Reiss Knehr
673858,Jake Wong
571510,Matt Boyd
691094,Randy Wynne
611093,Silvino Bracho
623507,Josh Lester
670810,Logan Gillaspie
621076,James Kaprielian
641771,Chad Kuhl
681584,David Villar
446372,Corey Kluber
676391,Ernie Clement
605218,Carl Edwards
592254,José De León
643256,Adam Cimber
668942,Josh Rojas
594577,Mike Mayers
605612,Harold Castro
657424,Matt Gage
668754,Braden Bristo
676689,Ricky Karcher
682171,Penn Murfee
543063,Brandon Crawford
669093,Jeremiah Estrada
676714,Brandon Hughes
673111,José Lopez
665019,Kody Clemens
488984,Tommy Hunter
669105,Zach Muckenhirn
521230,Liam Hendriks
571616,Matt Dermody
668665,Stephen Nogosek
608328,Chase De Jong
622251,Josh Staumont
542914,Anthony Bass
641401,Connor Brogdon
595411,Ryan Sherriff
664776,Jake Cousins
543901,Ryan Weber
598264,Matt Barnes
571710,Mychal Givens
663971,Blair Calvo
689172,Brett Wisely
572008,Chris Owings
672730,Juan Then
594835,Marco Gonzales
670183,Garrett Acton
592826,Vince Velasquez
657031,Josh Taylor
663630,Ryan McKenna
670712,Mike Brosseau
621249,Duane Underwood
606625,Reyes Moronta
542194,Christian Bethancourt
670042,Luke Raley
641420,Zack Burdi
676701,Alan Trejo
664202,Tyler Cyr
595897,Nick Burdi
657272,Erich Uelmen
666207,Riley Pint
669160,Dustin May
685410,Peyton Battenfield
667427,Zach Jackson
664849,Danny Young
506702,Sandy León
607968,Drew Rucinski
670156,Miles Mastrobuoni
656876,Drew Rasmussen
686972,Cole Waites
622608,Antonio Senzatela
664076,Garrett Cleavinger
571875,Jake Lamb
517008,Alex Colomé
570666,Luis Cessa
665665,Reiver Sanmartin
605513,Spencer Turnbull
666157,Nick Lodolo
621433,Brett Phillips
647315,Zach Pop
670124,Adam Oller
642758,Domingo Acevedo
629498,Johan Quezada
544727,Jeurys Familia
677651,Luis García
656981,Peter Solomon
657041,Lane Thomas
668676,Zach Plesac
607455,Anthony Banda
668834,Easton McGee
594798,Jacob deGrom
650671,José Quijada
641816,Tyler Mahle
608566,Germán Márquez
663455,Konnor Pilkington
592390,Heath Hembree
543594,Sean Nolin
592222,Alex Claudio
681810,Austin Warren
650895,Diego Castillo
670955,Edwin Uceta
680573,Simeon Woods Richardson
663897,Luke Williams
596082,Jake Reed
613564,Jason Vosler
518516,Madison Bumgarner
669432,Trevor Rogers
640444,Wil Crowe
543281,Josh Harrison
686842,McKinley Moore
663460,Kris Bubic
656818,Connor Overton
542208,Carlos Pérez
641525,Brandon Dixon
605488,Jeffrey Springs
605155,Colten Brewer
642578,José Rodríguez
672841,Carlos Vargas
681987,Nate Eaton
656716,Zach McKinstry
676050,Packy Naughton
607461,Matt Beaty
593643,Hanser Alberto
641645,Luis Guillorme
