batter,player_name
656976,Pavin Smith
657247,Brian O'Keefe
693049,Oscar Colás
572761,Matt Carpenter
657061,Cole Tucker
691176,Jasson Domínguez
680911,Owen Miller
664670,Alejo López
663550,Trey Cabbage
666023,Freddy Fermin
663630,Ryan McKenna
683737,Michael Busch
656180,Riley Adams
681146,Jonah Bride
596142,Gary Sánchez
650859,Luis Rengifo
607461,Matt Beaty
608336,Joey Gallo
685133,Wade Meckler
679881,J. P. Martínez
605113,Nick Ahmed
457705,Andrew McCutchen
687799,Cade Marlowe
669392,Samad Taylor
681962,Vinny Capra
660271,Shohei Ohtani
682985,Riley Greene
643376,Danny Jansen
623205,Andrew Velazquez
669200,Mason McCoy
606992,Eric Haase
600301,Taylor Motter
671083,Buddy Kennedy
669911,Michael Toglia
666152,David Hamilton
686759,TJ Hopkins
667452,Corey Julks
680574,Matt McLain
501659,Abraham Almonte
592325,Ben Gamel
630105,Jake Cronenworth
656448,Stone Garrett
687093,Vaughn Grissom
622666,Johan Camargo
545361,Mike Trout
541645,Avisaíl García
656185,Greg Allen
641856,Billy McKinney
680776,Jarren Duran
641470,Zack Collins
592656,Henry Ramos
682073,David Hensley
641786,Kyle Lewis
665155,Nick Maton
669023,Jeter Downs
571466,Tucker Barnhart
647351,Abraham Toro
621028,Kevin Newman
656371,Isan Díaz
642137,Cody Thomas
608596,Tom Murphy
664029,Mark Mathias
677551,Wander Franco
681297,Colton Cowser
666185,Dylan Carlson
572041,AJ Pollock
644374,Yu Chang
516782,Starling Marte
572816,Corey Dickerson
624414,Christian Arroyo
519203,Anthony Rizzo
621439,Byron Buxton
543543,Brad Miller
660636,Diego Castillo
516416,Jean Segura
641820,Trey Mancini
543281,Josh Harrison
595751,Jorge Alfaro
621493,Taylor Ward
680977,Brendan Donovan
670128,Taylor Kohlwey
689172,Brett Wisely
660634,Yonny Hernández
663330,Jahmai Jones
676356,Jonny DeLuca
681584,David Villar
672779,Tucupita Marcano
608385,Jesse Winker
666211,Taylor Trammell
676632,Bligh Madris
614173,Franchy Cordero
669742,Darick Hall
642336,Francisco Mejía
545350,Jake Marisnick
592200,Curt Casali
656541,Sam Hilliard
624431,Jose Trevino
518586,Charlie Culberson
596059,Rougned Odor
641525,Brandon Dixon
656403,Drew Ellis
543592,Austin Nola
642180,Tyler Wade
444489,Manny Piña
669304,José Miranda
678246,Miguel Vargas
570731,Jonathan Schoop
666150,Dominic Fletcher
656537,Derek Hill
641505,Jonathan Davis
543685,Anthony Rendon
605242,Michael Fulmer
443558,Nelson Cruz
621532,Anthony Bemboom
669369,Bryce Johnson
663796,Coco Montes
640449,Clint Frazier
668843,Conner Capel
643348,Caleb Hamilton
640458,Óscar Mercado
665019,Kody Clemens
676070,Jacob Amaya
656821,Kevin Padlo
623507,Josh Lester
687401,Joey Ortiz
681987,Nate Eaton
668751,Cal Mitchell
663731,Connor Kaiser
641432,Willie Calhoun
645302,Víctor Robles
663967,César Salazar
570482,Gio Urshela
676480,José Barrero
670223,Matt Mervis
572287,Mike Zunino
663853,Romy Gonzalez
656495,Dalton Guthrie
506702,Sandy León
686469,Vinnie Pasquantino
664247,Kyle Garlick
598265,Jackie Bradley
670712,Mike Brosseau
621512,Tomás Nido
670869,Livan Soto
621458,Edwin Ríos
573131,Darin Ruf
572008,Chris Owings
669352,Bubba Thompson
679631,Terrin Vavra
593643,Hanser Alberto
542583,Jesús Aguilar
656514,Adam Haseley
668663,Tres Barrera
571976,Wil Myers
680814,Peyton Burdick
641531,Hunter Dozier
641553,Adam Engel
624503,Nick Gordon
543333,Eric Hosmer
669065,Kyle Stowers
572228,Luke Voit
608360,Chris Okey
670276,Cal Stevenson
644433,Chadwick Tromp
571875,Jake Lamb
669699,Braden Shewmake
